Id,Predicted
144,Clear Reply
145,Clear Reply
146,Clear Reply
147,Ambivalent
148,Clear Non-Reply
149,Clear Non-Reply
150,Ambivalent
151,Clear Reply
152,Clear Non-Reply
153,Clear Reply
154,Clear Reply
155,Ambivalent
156,Clear Non-Reply
157,Clear Reply
158,Ambivalent
159,Clear Non-Reply
160,Ambivalent
161,Clear Non-Reply
162,Clear Reply
163,Ambivalent
164,Clear Non-Reply
165,Clear Non-Reply
166,Ambivalent
167,Clear Non-Reply
168,Clear Reply
169,Ambivalent
170,Ambivalent
171,Clear Reply
172,Clear Non-Reply
173,Clear Non-Reply
174,Clear Non-Reply
175,Clear Reply
176,Ambivalent
177,Clear Reply
178,Clear Non-Reply
179,Clear Non-Reply
180,Ambivalent
181,Ambivalent
182,Clear Reply
183,Clear Reply
184,Clear Non-Reply
185,Clear Non-Reply
186,Clear Reply
187,Clear Reply
188,Clear Reply
189,Clear Non-Reply
190,Clear Reply
191,Clear Non-Reply
192,Clear Non-Reply
193,Clear Non-Reply
194,Clear Non-Reply
195,Clear Non-Reply
196,Ambivalent
197,Clear Reply
198,Clear Non-Reply
199,Clear Reply
200,Ambivalent
201,Clear Reply
202,Clear Non-Reply
203,Ambivalent
204,Clear Reply
205,Clear Non-Reply
206,Clear Reply
207,Ambivalent
208,Clear Non-Reply
209,Clear Reply
210,Ambivalent
211,Clear Reply
212,Clear Non-Reply
213,Ambivalent
214,Clear Non-Reply
215,Clear Non-Reply
216,Clear Reply
217,Ambivalent
218,Clear Non-Reply
219,Ambivalent
220,Ambivalent
221,Ambivalent
222,Clear Reply
223,Clear Non-Reply
224,Clear Non-Reply
225,Ambivalent
226,Clear Non-Reply
227,Ambivalent
228,Ambivalent
229,Clear Reply
230,Ambivalent
231,Ambivalent
232,Clear Non-Reply
233,Clear Reply
234,Ambivalent
235,Ambivalent
236,Clear Reply
237,Clear Reply
238,Clear Reply
239,Clear Reply
240,Ambivalent
241,Clear Non-Reply
242,Clear Non-Reply
243,Ambivalent
244,Clear Reply
245,Clear Reply
246,Ambivalent
247,Clear Non-Reply
248,Clear Reply
249,Clear Reply
250,Clear Reply
251,Ambivalent
252,Ambivalent
253,Clear Reply
254,Clear Non-Reply
255,Clear Reply
256,Clear Non-Reply
257,Clear Non-Reply
258,Ambivalent
259,Ambivalent
260,Clear Non-Reply
261,Ambivalent
262,Ambivalent
263,Clear Non-Reply
264,Clear Reply
265,Clear Non-Reply
266,Clear Reply
267,Clear Non-Reply
268,Clear Reply
269,Clear Reply
270,Clear Non-Reply
271,Ambivalent
272,Clear Non-Reply
273,Ambivalent
274,Ambivalent
275,Clear Non-Reply
276,Clear Reply
277,Clear Non-Reply
278,Clear Reply
279,Clear Reply
280,Clear Non-Reply
281,Ambivalent
282,Clear Non-Reply
283,Clear Non-Reply
284,Clear Non-Reply
285,Ambivalent
286,Clear Non-Reply
287,Clear Non-Reply
288,Clear Non-Reply
289,Ambivalent
290,Clear Reply
291,Clear Reply
292,Clear Reply
293,Clear Reply
294,Ambivalent
295,Ambivalent
296,Ambivalent
297,Clear Non-Reply
298,Clear Reply
299,Clear Non-Reply
300,Ambivalent
301,Clear Non-Reply
302,Clear Non-Reply
303,Ambivalent
304,Clear Non-Reply
305,Ambivalent
306,Clear Non-Reply
307,Clear Non-Reply
