,true,qwen-0.8b_zero-shot_pred,qwen-0.8b_zero-shot_wrong,qwen-0.8b_few-shot_pred,qwen-0.8b_few-shot_wrong,qwen-0.8b_cot_pred,qwen-0.8b_cot_wrong,qwen-0.8b_self-check_pred,qwen-0.8b_self-check_wrong,qwen-2b_zero-shot_pred,qwen-2b_zero-shot_wrong,qwen-2b_few-shot_pred,qwen-2b_few-shot_wrong,qwen-2b_cot_pred,qwen-2b_cot_wrong,qwen-2b_self-check_pred,qwen-2b_self-check_wrong,failure_count,failed_by
10,Clear Non-Reply,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,5,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot"
11,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,8,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check"
12,Clear Non-Reply,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Non-Reply,False,Clear Reply,True,Clear Non-Reply,False,6,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_cot"
13,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,8,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check"
14,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,8,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check"
15,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,8,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check"
16,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,0,
17,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,8,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check"
18,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,0,
19,Clear Non-Reply,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,4,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
20,Clear Non-Reply,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,8,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check"
21,Clear Non-Reply,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,4,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
22,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,8,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check"
23,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,0,
24,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Non-Reply,True,Clear Non-Reply,True,Clear Reply,False,2,"qwen-2b_few-shot, qwen-2b_cot"
25,Clear Non-Reply,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,5,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot"
26,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,8,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check"
27,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,0,
28,Clear Non-Reply,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,4,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
29,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,8,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check"
